playerID,nameFirst,nameLast,nameGiven,weight,height,bats,throws
affelje01,Jeremy,Affeldt,Jeremy David,225,76,L,L
agbaybe01,Benny,Agbayani,Benny Peter,225,72,R,R
ageeto01,Tommie,Agee,Tommie Lee,195,71,R,R
agganha01,Harry,Agganis,Harry,200,74,L,L
aglerjo01,Joe,Agler,Joseph Abram,165,71,L,L
agnewsa01,Sam,Agnew,Samuel Lester,185,71,R,R
agostju01,Juan,Agosto,Juan Roberto,190,74,L,L
aguaylu01,Luis,Aguayo,Luis,173,69,R,R
aguilch01,Chris,Aguila,Christopher Louis,200,71,R,R
aguilri01,Rick,Aguilera,Richard Warren,195,76,R,R
aguirha01,Hank,Aguirre,Henry John,205,76,R,L
ahearch01,Bill,Ahearn,William H.,,,,
ahearpa01,Pat,Ahearne,Patrick Howard,195,75,R,R
aikenwi01,Willie,Aikens,Willie Mays,220,75,L,R
aingeda01,Danny,Ainge,Daniel Ray,175,76,R,R
ainsmed01,Eddie,Ainsmith,Edward Wilbur,180,71,R,R
ainswku01,Kurt,Ainsworth,Kurt Harold,192,75,R,R
aitchra01,Raleigh,Aitchison,Raleigh Leonidas,175,71,R,L
aitonge01,George,Aiton,George Wilson,175,71,B,R
akejo01,John,Ake,John Leckie,180,73,R,R
akerfda01,Darrel,Akerfelds,Darrel Wayne,210,74,R,R
akerja01,Jack,Aker,Jackie Delane,190,74,R,R
akersbi01,Bill,Akers,William G.,178,71,R,R
akersje01,Jerry,Akers,Albert Earl,175,71,R,R
albagi01,Gibson,Alba,Gibson Alberto,160,74,L,L
albaljo01,Jonathan,Albaladejo,Jonathan,270,77,R,R
albanjo01,Joe,Albanese,Joseph Peter,215,75,R,R
alberan01,Andrew,Albers,Andrew,195,73,R,L
alberbu01,Butch,Alberts,Francis Burt,205,74,R,R
albercy01,Cy,Alberts,Frederick Joseph,230,72,R,R
albergu01,Gus,Alberts,Augustus Peter,180,66,R,R
alberjo01,Jose,Alberro,Jose Edgardo,190,74,R,R
alberma01,Matt,Albers,Matthew James,225,73,L,R
albosed01,Ed,Albosta,Edward John,175,73,R,R
albreed01,Ed,Albrecht,Edward Arthur,165,70,R,R
albrija01,Jack,Albright,Harold John,175,69,R,R
albural01,Al,Alburquerque,Alberto Jose,195,72,R,R
alburvi01,Vic,Albury,Victor,190,72,L,L
alcalsa01,Santo,Alcala,Santo,195,77,R,R
alcanis01,Israel,Alcantara,Israel,180,74,R,R
alcarlu01,Luis,Alcaraz,Angel Luis,165,69,R,R
alcocsc01,Scotty,Alcock,John Forbes,160,69,R,R
alderda01,Dale,Alderson,Dale Leonard,190,70,R,R
aldremi01,Mike,Aldrete,Michael Peter,180,71,L,L
aldresc01,Scott,Aldred,Scott Phillip,195,76,L,L
aldrico01,Cory,Aldridge,Cory Jerome,210,72,L,R
aldrija01,Jay,Aldrich,Jay Robert,210,75,R,R
aldrivi01,Vic,Aldridge,Victor,175,69,R,R
alenoch01,Chuck,Aleno,Charles,215,73,R,R
alexabo01,Bob,Alexander,Robert Somerville,205,74,R,R
alexada01,Dale,Alexander,David Dale,210,75,R,R
alexado01,Doyle,Alexander,Doyle Lafayette,190,75,R,R
alexaga01,Gary,Alexander,Gary Wayne,195,74,R,R
alexage01,Gerald,Alexander,Gerald Paul,190,71,R,R
alexahu01,Hugh,Alexander,Hugh,190,72,R,R
alexama01,Matt,Alexander,Matthew,168,71,B,R
alexama02,Manny,Alexander,Manuel de Jesus,150,70,R,R
alexani01,Nin,Alexander,William Henry,163,64,R,R
alexape01,Pete,Alexander,Grover Cleveland,185,73,R,R
alexawa01,Walt,Alexander,Walter Ernest,165,70,R,R
alfarja01,Jason,Alfaro,Jason,185,70,R,R
alfonan01,Antonio,Alfonseca,Antonio,250,77,R,R
alfoned01,Edgardo,Alfonzo,Edgardo Antonio,210,71,R,R
alfonel01,Eliezer,Alfonzo,Eliezer Jesus,220,71,R,R
alicelu01,Luis,Alicea,Luis Rene,165,69,B,R
allanan01,Andy,Allanson,Andrew Neal,220,77,R,R
